date,open,high,low,close,volume
2015-12-03,0.0500,0.0500,0.0500,0.0500,0
2015-12-04,0.0500,0.0500,0.0500,0.0500,0
2015-12-07,0.0500,0.0500,0.0500,0.0500,0
2015-12-08,0.0500,0.0500,0.0500,0.0500,0
2015-12-09,0.0500,0.0500,0.0500,0.0500,0
2015-12-10,0.0500,0.0500,0.0500,0.0500,0
2015-12-11,0.0500,0.0500,0.0500,0.0500,0
2015-12-14,0.0500,0.0500,0.0500,0.0500,0
2015-12-15,0.0500,0.0500,0.0500,0.0500,0
2015-12-16,0.0500,0.0500,0.0500,0.0500,0
2015-12-17,0.0500,0.0500,0.0500,0.0500,0
2015-12-18,0.0500,0.0500,0.0500,0.0500,0
2015-12-21,0.0500,0.0500,0.0500,0.0500,0
2015-12-22,0.0500,0.0500,0.0500,0.0500,0
2015-12-23,0.0500,0.0500,0.0500,0.0500,0
2015-12-24,0.0500,0.0500,0.0500,0.0500,0
2015-12-28,0.0500,0.0500,0.0500,0.0500,0
2015-12-29,0.0500,0.0500,0.0500,0.0500,0
2015-12-30,0.0500,0.0500,0.0500,0.0500,0
2015-12-31,0.0500,0.0500,0.0500,0.0500,0
2016-01-04,0.0500,0.0500,0.0500,0.0500,0
2016-01-05,0.0500,0.0500,0.0500,0.0500,0
2016-01-06,0.0500,0.0500,0.0500,0.0500,0
2016-01-07,0.0500,0.0500,0.0500,0.0500,0
2016-01-08,0.0500,0.0500,0.0500,0.0500,0
2016-01-11,0.0500,0.0500,0.0500,0.0500,0
2016-01-12,0.0500,0.0500,0.0500,0.0500,0
2016-01-13,0.0500,0.0500,0.0500,0.0500,0
2016-01-14,0.0500,0.0500,0.0500,0.0500,0
2016-01-15,0.0500,0.0500,0.0500,0.0500,0
2016-01-19,0.0500,0.0500,0.0500,0.0500,0
2016-01-20,0.0500,0.0500,0.0500,0.0500,0
2016-01-21,0.0500,0.0500,0.0500,0.0500,0
2016-01-22,0.0500,0.0500,0.0500,0.0500,0
2016-01-25,0.0500,0.0500,0.0500,0.0500,0
2016-01-26,0.0500,0.0500,0.0500,0.0500,0
2016-01-27,0.0500,0.0500,0.0500,0.0500,0
2016-01-28,0.0200,0.0200,0.0200,0.0200,7700
2016-01-29,0.0200,0.0200,0.0200,0.0200,0
2016-02-01,0.0200,0.0200,0.0200,0.0200,0
2016-02-02,0.0200,0.0200,0.0200,0.0200,0
2016-02-03,0.0200,0.0200,0.0200,0.0200,0
2016-02-04,0.0200,0.0200,0.0200,0.0200,0
2016-02-05,0.0200,0.0200,0.0200,0.0200,0
2016-02-08,0.0200,0.0200,0.0200,0.0200,0
2016-02-09,0.0200,0.0200,0.0200,0.0200,0
2016-02-10,0.0200,0.0200,0.0200,0.0200,0
2016-02-11,0.0200,0.0200,0.0200,0.0200,0
2016-02-12,0.0200,0.0200,0.0200,0.0200,0
2016-02-16,0.0200,0.0200,0.0200,0.0200,0
2016-02-17,0.0200,0.0200,0.0200,0.0200,0
2016-02-18,0.0200,0.0200,0.0200,0.0200,0
2016-02-19,0.0200,0.0200,0.0200,0.0200,0
2016-02-22,0.0200,0.0200,0.0200,0.0200,0
2016-02-23,0.0200,0.0200,0.0200,0.0200,0
2016-02-24,0.0200,0.0200,0.0200,0.0200,0
2016-02-25,0.0200,0.0200,0.0200,0.0200,0
2016-02-26,0.0200,0.0200,0.0200,0.0200,0
2016-02-29,0.0200,0.0200,0.0200,0.0200,0
2016-03-01,0.0200,0.0200,0.0200,0.0200,0
2016-03-02,0.0200,0.0200,0.0200,0.0200,0
2016-03-03,0.0200,0.0200,0.0200,0.0200,0
2016-03-04,0.0200,0.0200,0.0200,0.0200,0
2016-03-07,0.0200,0.0200,0.0200,0.0200,0
2016-03-08,0.0200,0.0200,0.0200,0.0200,0
2016-03-09,0.0200,0.0200,0.0200,0.0200,0
2016-03-10,0.0200,0.0200,0.0200,0.0200,0
2016-03-11,0.0200,0.0200,0.0200,0.0200,0
2016-03-14,0.0200,0.0200,0.0200,0.0200,0
2016-03-15,0.0200,0.0200,0.0200,0.0200,0
2016-03-16,0.0200,0.0200,0.0200,0.0200,0
2016-03-17,0.0200,0.0200,0.0080,0.0080,20000
2016-03-18,0.0080,0.0080,0.0080,0.0080,0
2016-03-21,0.0080,0.0080,0.0080,0.0080,0
2016-03-22,0.0080,0.0080,0.0080,0.0080,0
2016-03-23,0.0080,0.0080,0.0080,0.0080,0
2016-03-24,0.0080,0.0080,0.0080,0.0080,0
2016-03-28,0.0080,0.0080,0.0080,0.0080,0
2016-03-29,0.0080,0.0080,0.0080,0.0080,0
2016-03-30,0.0080,0.0080,0.0080,0.0080,0
2016-03-31,0.0080,0.0080,0.0080,0.0080,0
2016-04-01,0.0080,0.0080,0.0080,0.0080,0
2016-04-04,0.0080,0.0080,0.0080,0.0080,0
2016-04-05,0.0080,0.0080,0.0080,0.0080,0
2016-04-06,0.0080,0.0080,0.0080,0.0080,0
2016-04-07,0.0080,0.0080,0.0080,0.0080,0
2016-04-08,0.0080,0.0080,0.0080,0.0080,0
2016-04-11,0.0080,0.0080,0.0080,0.0080,0
2016-04-12,0.0080,0.0080,0.0080,0.0080,0
2016-04-13,0.0080,0.0080,0.0080,0.0080,0
2016-04-14,0.0080,0.0080,0.0080,0.0080,0
2016-04-15,0.0080,0.0080,0.0080,0.0080,0
2016-04-18,0.0080,0.0080,0.0080,0.0080,0
2016-04-19,0.0080,0.0080,0.0080,0.0080,0
2016-04-20,0.0080,0.0080,0.0080,0.0080,0
2016-04-21,0.0080,0.0080,0.0080,0.0080,0
2016-04-22,0.0080,0.0080,0.0080,0.0080,0
2016-04-25,0.0080,0.0080,0.0080,0.0080,0
2016-04-26,0.0080,0.0080,0.0080,0.0080,0
2016-04-27,0.0080,0.0080,0.0080,0.0080,0
2016-04-28,0.0080,0.0080,0.0080,0.0080,0
2016-04-29,0.0080,0.0080,0.0080,0.0080,0
2016-05-02,0.0080,0.0080,0.0080,0.0080,0
2016-05-03,0.0080,0.0080,0.0080,0.0080,0
2016-05-04,0.0080,0.0080,0.0080,0.0080,0
2016-05-05,0.0080,0.0080,0.0080,0.0080,0
2016-05-06,0.0080,0.0080,0.0080,0.0080,0
2016-05-09,0.0080,0.0080,0.0080,0.0080,0
2016-05-10,0.0080,0.0080,0.0080,0.0080,0
2016-05-11,0.0080,0.0080,0.0080,0.0080,0
2016-05-12,0.0080,0.0080,0.0080,0.0080,0
2016-05-13,0.0080,0.0080,0.0080,0.0080,0
2016-05-16,0.0080,0.0080,0.0080,0.0080,0
2016-05-17,0.0080,0.0080,0.0080,0.0080,0
2016-05-18,0.0080,0.0080,0.0080,0.0080,0
2016-05-19,0.0080,0.0080,0.0080,0.0080,0
2016-05-20,0.0080,0.0080,0.0080,0.0080,0
2016-05-23,0.0080,0.0080,0.0080,0.0080,0
2016-05-24,0.0080,0.0080,0.0080,0.0080,0
2016-05-25,0.0080,0.0080,0.0080,0.0080,0
2016-05-26,0.0080,0.0080,0.0080,0.0080,0
2016-05-27,0.0080,0.0080,0.0080,0.0080,0
2016-05-31,0.0080,0.0080,0.0080,0.0080,0
2016-06-01,0.0080,0.0080,0.0080,0.0080,0
2016-06-02,0.0080,0.0080,0.0080,0.0080,0
2016-06-03,0.0080,0.0080,0.0080,0.0080,0
2016-06-06,0.0080,0.0080,0.0080,0.0080,0
2016-06-07,0.0080,0.0080,0.0080,0.0080,0
2016-06-08,0.0080,0.0080,0.0080,0.0080,0
2016-06-09,0.0080,0.0080,0.0080,0.0080,0
2016-06-10,0.0080,0.0080,0.0080,0.0080,0
2016-06-13,0.0080,0.0080,0.0080,0.0080,0
2016-06-14,0.0080,0.0080,0.0080,0.0080,0
2016-06-15,0.0080,0.0080,0.0080,0.0080,0
2016-06-16,0.0080,0.0080,0.0080,0.0080,0
2016-06-17,0.0080,0.0080,0.0080,0.0080,0
2016-06-20,0.0080,0.0080,0.0080,0.0080,0
2016-06-21,0.0080,0.0080,0.0080,0.0080,0
2016-06-22,0.0080,0.0080,0.0080,0.0080,0
2016-06-23,0.0080,0.0080,0.0080,0.0080,0
2016-06-24,0.0080,0.0080,0.0080,0.0080,0
2016-06-27,0.0080,0.0080,0.0080,0.0080,0
2016-06-28,0.0080,0.0080,0.0080,0.0080,0
2016-06-29,0.0080,0.0080,0.0080,0.0080,0
2016-06-30,0.0080,0.0080,0.0080,0.0080,0
2016-07-01,0.0080,0.0080,0.0080,0.0080,0
2016-07-05,0.0080,0.0080,0.0080,0.0080,0
2016-07-06,0.0080,0.0080,0.0080,0.0080,0
2016-07-07,0.0080,0.0080,0.0080,0.0080,0
2016-07-08,0.0080,0.0080,0.0080,0.0080,0
2016-07-11,0.0080,0.0080,0.0080,0.0080,0
2016-07-12,0.0080,0.0080,0.0080,0.0080,0
2016-07-13,0.0080,0.0080,0.0080,0.0080,0
2016-07-14,0.0080,0.0080,0.0080,0.0080,0
2016-07-15,0.0080,0.0080,0.0080,0.0080,0
2016-07-18,0.0080,0.0080,0.0080,0.0080,0
2016-07-19,0.0080,0.0080,0.0080,0.0080,0
2016-07-20,0.0080,0.0080,0.0080,0.0080,0
2016-07-21,0.0080,0.0080,0.0080,0.0080,0
2016-07-22,0.0080,0.0080,0.0080,0.0080,0
2016-07-25,0.0080,0.0080,0.0080,0.0080,0
2016-07-26,0.0080,0.0080,0.0080,0.0080,0
2016-07-27,0.0080,0.0080,0.0080,0.0080,0
2016-07-28,0.0080,0.0080,0.0080,0.0080,0
2016-07-29,0.0080,0.0080,0.0080,0.0080,0
2016-08-01,0.0080,0.0080,0.0080,0.0080,0
2016-08-02,0.0080,0.0080,0.0080,0.0080,0
2016-08-03,0.0080,0.0080,0.0080,0.0080,0
2016-08-04,0.0080,0.0080,0.0080,0.0080,0
2016-08-05,0.0080,0.0080,0.0080,0.0080,0
2016-08-08,0.0080,0.0080,0.0080,0.0080,0
2016-08-09,0.0080,0.0080,0.0080,0.0080,0
2016-08-10,0.0080,0.0080,0.0080,0.0080,0
2016-08-11,0.0080,0.0080,0.0080,0.0080,0
2016-08-12,0.0080,0.0080,0.0080,0.0080,0
2016-08-15,0.0080,0.0080,0.0080,0.0080,0
2016-08-16,0.0080,0.0080,0.0080,0.0080,0
2016-08-17,0.0080,0.0080,0.0080,0.0080,0
2016-08-18,0.0080,0.0080,0.0080,0.0080,0
2016-08-19,0.0080,0.0080,0.0080,0.0080,0
2016-08-22,0.0080,0.0080,0.0080,0.0080,0
2016-08-23,0.0080,0.0080,0.0080,0.0080,0
2016-08-24,0.0080,0.0080,0.0080,0.0080,0
2016-08-25,0.0080,0.0080,0.0080,0.0080,0
2016-08-26,0.0080,0.0080,0.0080,0.0080,0
2016-08-29,0.0080,0.0080,0.0080,0.0080,0
2016-08-30,0.0080,0.0080,0.0080,0.0080,0
2016-08-31,0.0080,0.0080,0.0080,0.0080,0
2016-09-01,0.0080,0.0080,0.0080,0.0080,0
2016-09-02,0.0080,0.0080,0.0080,0.0080,0
2016-09-06,0.0080,0.0080,0.0080,0.0080,0
2016-09-07,0.0080,0.0080,0.0080,0.0080,0
2016-09-08,0.0080,0.0080,0.0080,0.0080,0
2016-09-09,0.0080,0.0080,0.0080,0.0080,0
2016-09-12,0.0080,0.0080,0.0080,0.0080,0
2016-09-13,0.0080,0.0080,0.0080,0.0080,0
2016-09-14,0.0080,0.0080,0.0080,0.0080,0
2016-09-15,0.0080,0.0080,0.0080,0.0080,0
2016-09-16,0.0080,0.0080,0.0080,0.0080,0
2016-09-19,0.0080,0.0080,0.0080,0.0080,0
2016-09-20,0.0080,0.0080,0.0080,0.0080,0
2016-09-21,0.0080,0.0080,0.0080,0.0080,0
2016-09-22,0.0080,0.0080,0.0080,0.0080,0
2016-09-23,0.0080,0.0080,0.0080,0.0080,0
2016-09-26,0.0080,0.0080,0.0080,0.0080,0
2016-09-27,0.0080,0.0080,0.0080,0.0080,0
2016-09-28,0.0080,0.0080,0.0080,0.0080,0
2016-09-29,0.0080,0.0080,0.0080,0.0080,0
2016-09-30,0.0080,0.0080,0.0080,0.0080,0
2016-10-03,0.0080,0.0080,0.0080,0.0080,0
2016-10-04,0.0080,0.0080,0.0080,0.0080,0
2016-10-05,0.0080,0.0080,0.0080,0.0080,0
2016-10-06,0.0080,0.0080,0.0080,0.0080,0
2016-10-07,0.0080,0.0080,0.0080,0.0080,0
2016-10-10,0.0080,0.0080,0.0080,0.0080,0
2016-10-11,0.0080,0.0080,0.0080,0.0080,0
2016-10-12,0.0080,0.0080,0.0080,0.0080,0
2016-10-13,0.0080,0.0080,0.0080,0.0080,0
2016-10-14,0.0080,0.0080,0.0080,0.0080,0
2016-10-17,0.0080,0.0080,0.0080,0.0080,0
2016-10-18,0.0080,0.0080,0.0080,0.0080,0
2016-10-19,0.0080,0.0080,0.0080,0.0080,0
2016-10-20,0.0080,0.0080,0.0080,0.0080,0
2016-10-21,0.0080,0.0080,0.0080,0.0080,0
2016-10-24,0.0080,0.0080,0.0080,0.0080,0
2016-10-25,0.0080,0.0080,0.0080,0.0080,0
2016-10-26,0.0080,0.0080,0.0080,0.0080,0
2016-10-27,0.0080,0.0080,0.0080,0.0080,0
2016-10-28,0.0080,0.0080,0.0080,0.0080,0
2016-10-31,0.0080,0.0080,0.0080,0.0080,0
2016-11-01,0.0080,0.0080,0.0080,0.0080,0
2016-11-02,0.0080,0.0080,0.0080,0.0080,0
2016-11-03,0.0080,0.0080,0.0080,0.0080,0
2016-11-04,0.0080,0.0080,0.0080,0.0080,0
2016-11-07,0.0080,0.0080,0.0080,0.0080,0
2016-11-08,0.0080,0.0080,0.0080,0.0080,0
2016-11-09,0.0080,0.0080,0.0080,0.0080,0
2016-11-10,0.0080,0.0080,0.0080,0.0080,0
2016-11-11,0.0080,0.0080,0.0080,0.0080,0
2016-11-14,0.0080,0.0080,0.0080,0.0080,0
2016-11-15,0.0080,0.0080,0.0080,0.0080,0
2016-11-16,0.0080,0.0080,0.0080,0.0080,0
2016-11-17,0.0080,0.0080,0.0080,0.0080,0
2016-11-18,0.0080,0.0080,0.0080,0.0080,0
2016-11-21,0.0080,0.0080,0.0080,0.0080,0
2016-11-22,0.0080,0.0080,0.0080,0.0080,0
2016-11-23,0.0080,0.0080,0.0080,0.0080,0
2016-11-25,0.0080,0.0080,0.0080,0.0080,0
2016-11-28,0.0080,0.0080,0.0080,0.0080,0
2016-11-29,0.0080,0.0080,0.0080,0.0080,0
2016-11-30,0.0080,0.0080,0.0080,0.0080,0
2016-12-01,0.0080,0.0080,0.0080,0.0080,0
2016-12-02,0.0080,0.0080,0.0080,0.0080,0
2016-12-05,0.0080,0.0080,0.0080,0.0080,0
2016-12-06,0.0080,0.0080,0.0080,0.0080,0
2016-12-07,0.0080,0.0080,0.0080,0.0080,0
2016-12-08,0.0080,0.0080,0.0080,0.0080,0
2016-12-09,0.0080,0.0080,0.0080,0.0080,0
2016-12-12,0.0080,0.0080,0.0080,0.0080,0
2016-12-13,0.0080,0.0080,0.0080,0.0080,0
2016-12-14,0.0080,0.0080,0.0080,0.0080,0
2016-12-15,0.0080,0.0080,0.0080,0.0080,0
2016-12-16,0.0080,0.0080,0.0080,0.0080,0
2016-12-19,0.0080,0.0080,0.0080,0.0080,0
2016-12-20,0.0080,0.0080,0.0080,0.0080,0
2016-12-21,0.0080,0.0080,0.0080,0.0080,0
2016-12-22,0.0080,0.0080,0.0080,0.0080,0
2016-12-23,0.0080,0.0080,0.0080,0.0080,0
2016-12-27,0.0080,0.0080,0.0080,0.0080,0
2016-12-28,0.0080,0.0080,0.0080,0.0080,0
2016-12-29,0.0080,0.0080,0.0080,0.0080,0
2016-12-30,0.0080,0.0080,0.0080,0.0080,0
2017-01-03,0.0080,0.0080,0.0080,0.0080,0
2017-01-04,0.0080,0.0080,0.0080,0.0080,0
2017-01-05,0.0080,0.0080,0.0080,0.0080,0
2017-01-06,0.0080,0.0080,0.0080,0.0080,0
2017-01-09,0.0080,0.0080,0.0080,0.0080,0
2017-01-10,0.0080,0.0080,0.0080,0.0080,0
2017-01-11,0.0080,0.0080,0.0080,0.0080,0
2017-01-12,0.0080,0.0080,0.0080,0.0080,0
2017-01-13,0.0080,0.0080,0.0080,0.0080,0
2017-01-17,0.0080,0.0080,0.0080,0.0080,0
2017-01-18,0.0080,0.0080,0.0080,0.0080,0
2017-01-19,0.0080,0.0080,0.0080,0.0080,0
2017-01-20,0.0080,0.0080,0.0080,0.0080,0
2017-01-23,0.0080,0.0080,0.0080,0.0080,0
2017-01-24,0.0080,0.0080,0.0080,0.0080,0
2017-01-25,0.0125,0.0125,0.0125,0.0125,4000
2017-01-26,0.0125,0.0125,0.0125,0.0125,0
2017-01-27,0.0125,0.0125,0.0125,0.0125,0
2017-01-30,0.0500,0.0500,0.0462,0.0462,200
2017-01-31,0.0462,0.0462,0.0462,0.0462,0
2017-02-01,0.0462,0.0462,0.0462,0.0462,0
2017-02-02,0.0462,0.0462,0.0462,0.0462,0
2017-02-03,0.0462,0.0462,0.0462,0.0462,0
2017-02-06,0.0462,0.0462,0.0462,0.0462,0
2017-02-07,0.0462,0.0462,0.0462,0.0462,0
2017-02-08,0.0462,0.0462,0.0462,0.0462,0
2017-02-09,0.0462,0.0462,0.0462,0.0462,0
2017-02-10,0.0462,0.0462,0.0462,0.0462,0
2017-02-13,0.0462,0.0462,0.0462,0.0462,0
2017-02-14,0.0462,0.0462,0.0462,0.0462,0
2017-02-15,0.0125,0.0125,0.0125,0.0125,5520
2017-02-16,0.0125,0.0125,0.0125,0.0125,5500
2017-02-17,0.0125,0.0125,0.0125,0.0125,0
2017-02-21,0.0125,0.0125,0.0125,0.0125,0
2017-02-22,0.0125,0.0125,0.0125,0.0125,0
2017-02-23,0.0125,0.0125,0.0125,0.0125,0
2017-02-24,0.0125,0.0125,0.0125,0.0125,0
2017-02-27,0.0125,0.0125,0.0125,0.0125,0
2017-02-28,0.0125,0.0125,0.0125,0.0125,0
2017-03-01,0.0125,0.0125,0.0125,0.0125,0
2017-03-02,0.0125,0.0125,0.0125,0.0125,0
2017-03-03,0.0125,0.0125,0.0125,0.0125,0
2017-03-06,0.0125,0.0125,0.0125,0.0125,0
2017-03-07,0.0125,0.0125,0.0125,0.0125,0
2017-03-08,0.0125,0.0125,0.0125,0.0125,0
2017-03-09,0.0125,0.0125,0.0125,0.0125,0
2017-03-10,0.0125,0.0125,0.0125,0.0125,0
2017-03-13,0.0125,0.0125,0.0125,0.0125,0
2017-03-14,0.0125,0.0125,0.0125,0.0125,0
2017-03-15,0.0125,0.0125,0.0125,0.0125,0
2017-03-16,0.0125,0.0125,0.0125,0.0125,0
2017-03-17,0.0125,0.0125,0.0125,0.0125,0
2017-03-20,0.0125,0.0125,0.0125,0.0125,0
2017-03-21,0.0125,0.0125,0.0125,0.0125,0
2017-03-22,0.0125,0.0125,0.0125,0.0125,0
2017-03-23,0.0125,0.0125,0.0125,0.0125,0
2017-03-24,0.0125,0.0125,0.0125,0.0125,0
2017-03-27,0.0125,0.0125,0.0125,0.0125,0
2017-03-28,0.0125,0.0125,0.0125,0.0125,0
2017-03-29,0.0125,0.0125,0.0125,0.0125,0
2017-03-30,0.0125,0.0125,0.0125,0.0125,0
2017-03-31,0.0125,0.0125,0.0125,0.0125,0
2017-04-03,0.0125,0.0125,0.0125,0.0125,0
2017-04-04,0.0125,0.0125,0.0125,0.0125,0
2017-04-05,0.0125,0.0125,0.0125,0.0125,0
2017-04-06,0.0125,0.0125,0.0125,0.0125,0
2017-04-07,0.0125,0.0125,0.0125,0.0125,0
2017-04-10,0.0125,0.0125,0.0125,0.0125,0
2017-04-11,0.0125,0.0125,0.0125,0.0125,0
2017-04-12,0.0125,0.0125,0.0125,0.0125,0
2017-04-13,0.0125,0.0125,0.0125,0.0125,0
2017-04-17,0.0125,0.0125,0.0125,0.0125,0
2017-04-18,0.0125,0.0125,0.0125,0.0125,0
2017-04-19,0.0125,0.0125,0.0125,0.0125,0
2017-04-20,0.0125,0.0125,0.0125,0.0125,0
2017-04-21,0.0125,0.0125,0.0125,0.0125,0
2017-04-24,0.0125,0.0125,0.0125,0.0125,0
2017-04-25,0.0125,0.0125,0.0125,0.0125,0
2017-04-26,0.0125,0.0125,0.0125,0.0125,0
2017-04-27,0.0125,0.0125,0.0125,0.0125,0
2017-04-28,0.0125,0.0125,0.0125,0.0125,0
2017-05-01,0.0125,0.0125,0.0125,0.0125,0
2017-05-02,0.0125,0.0125,0.0125,0.0125,0
2017-05-03,0.0125,0.0125,0.0125,0.0125,0
2017-05-04,0.0125,0.0125,0.0125,0.0125,0
2017-05-05,0.0125,0.0125,0.0125,0.0125,0
2017-05-08,0.0125,0.0125,0.0125,0.0125,0
2017-05-09,0.0125,0.0125,0.0125,0.0125,0
2017-05-10,0.0125,0.0125,0.0125,0.0125,0
2017-05-11,0.0125,0.0125,0.0125,0.0125,0
2017-05-12,0.0125,0.0125,0.0125,0.0125,0
2017-05-15,0.0125,0.0125,0.0125,0.0125,0
2017-05-16,0.0125,0.0125,0.0125,0.0125,0
2017-05-17,0.0125,0.0125,0.0125,0.0125,0
2017-05-18,0.0125,0.0125,0.0125,0.0125,0
2017-05-19,0.0125,0.0125,0.0125,0.0125,0
2017-05-22,0.0125,0.0125,0.0125,0.0125,0
2017-05-23,0.0125,0.0125,0.0125,0.0125,0
2017-05-24,0.0125,0.0125,0.0125,0.0125,0
2017-05-25,0.0125,0.0125,0.0125,0.0125,0
2017-05-26,0.0125,0.0125,0.0125,0.0125,0
2017-05-30,0.0125,0.0125,0.0125,0.0125,0
2017-05-31,0.0125,0.0125,0.0125,0.0125,0
2017-06-01,0.0125,0.0125,0.0125,0.0125,0
2017-06-02,0.0125,0.0125,0.0125,0.0125,0
2017-06-05,0.0125,0.0125,0.0125,0.0125,0
2017-06-06,0.0125,0.0125,0.0125,0.0125,0
2017-06-07,0.0125,0.0125,0.0125,0.0125,0
2017-06-08,0.0125,0.0125,0.0125,0.0125,0
2017-06-09,0.0125,0.0125,0.0125,0.0125,0
2017-06-12,0.0125,0.0125,0.0125,0.0125,0
2017-06-13,0.0125,0.0125,0.0125,0.0125,0
2017-06-14,0.0125,0.0125,0.0125,0.0125,0
2017-06-15,0.0125,0.0125,0.0125,0.0125,0
2017-06-16,0.0125,0.0125,0.0125,0.0125,0
2017-06-19,0.0125,0.0125,0.0125,0.0125,0
2017-06-20,0.0125,0.0125,0.0125,0.0125,0
2017-06-21,0.0125,0.0125,0.0032,0.0032,93601
2017-06-22,0.0032,0.0032,0.0032,0.0032,93601
2017-06-23,0.0032,0.0032,0.0032,0.0032,0
2017-06-26,0.0032,0.0032,0.0032,0.0032,0
2017-06-27,0.0032,0.0032,0.0032,0.0032,0
2017-06-28,0.0032,0.0032,0.0032,0.0032,0
2017-06-29,0.0032,0.0032,0.0032,0.0032,0
2017-06-30,0.0032,0.0032,0.0032,0.0032,0
2017-07-03,0.0032,0.0032,0.0032,0.0032,0
2017-07-05,0.0032,0.0032,0.0032,0.0032,0
2017-07-06,0.0032,0.0032,0.0032,0.0032,0
2017-07-07,0.0032,0.0032,0.0032,0.0032,0
2017-07-13,0.0032,0.0032,0.0032,0.0032,0
2017-07-18,0.0032,0.0032,0.0032,0.0032,0
2017-07-19,0.0032,0.0032,0.0032,0.0032,0
2017-07-20,0.0032,0.0032,0.0032,0.0032,0
2017-07-21,0.0032,0.0032,0.0032,0.0032,0
2017-07-24,0.0032,0.0032,0.0032,0.0032,0
2017-07-25,0.0032,0.0032,0.0032,0.0032,0
2017-07-26,0.0032,0.0032,0.0032,0.0032,0
2017-07-27,0.0032,0.0032,0.0032,0.0032,0
2017-07-28,0.0070,0.0070,0.0070,0.0070,5182
2017-07-31,0.0070,0.0070,0.0070,0.0070,0
2017-08-01,0.0070,0.0070,0.0070,0.0070,0
2017-08-02,0.0070,0.0070,0.0070,0.0070,0
2017-08-07,0.0070,0.0070,0.0070,0.0070,0
2017-08-08,0.0070,0.0070,0.0070,0.0070,0
2017-08-09,0.0070,0.0070,0.0070,0.0070,0
2017-08-10,0.0070,0.0070,0.0070,0.0070,0
2017-08-11,0.0070,0.0070,0.0070,0.0070,0
2017-08-14,0.0070,0.0070,0.0070,0.0070,0
2017-08-15,0.0070,0.0070,0.0070,0.0070,0
2017-08-16,0.0070,0.0070,0.0070,0.0070,0
2017-08-17,0.0070,0.0070,0.0070,0.0070,0
2017-08-18,0.0070,0.0070,0.0070,0.0070,0
2017-08-21,0.0070,0.0070,0.0070,0.0070,0
2017-08-22,0.0070,0.0070,0.0070,0.0070,0
2017-08-23,0.0070,0.0070,0.0070,0.0070,0
2017-08-24,0.0070,0.0070,0.0070,0.0070,0
2017-08-25,0.0070,0.0070,0.0070,0.0070,0
2017-08-28,0.0070,0.0070,0.0070,0.0070,0
2017-08-29,0.0070,0.0070,0.0070,0.0070,0
2017-08-30,0.0070,0.0070,0.0070,0.0070,0
2017-08-31,0.0070,0.0070,0.0070,0.0070,0
2017-09-05,0.0070,0.0070,0.0070,0.0070,0
2017-09-06,0.0070,0.0070,0.0070,0.0070,0
2017-09-07,0.0070,0.0070,0.0070,0.0070,0
2017-09-12,0.0070,0.0070,0.0070,0.0070,0
2017-09-13,0.0070,0.0070,0.0070,0.0070,0
2017-09-14,0.0070,0.0070,0.0070,0.0070,0
2017-09-15,0.0070,0.0070,0.0070,0.0070,0
2017-09-18,0.0070,0.0070,0.0070,0.0070,0
2017-10-09,0.0140,0.0140,0.0140,0.0140,10000
2017-10-20,0.0150,0.0150,0.0150,0.0150,10000
2018-01-19,0.0150,0.0150,0.0100,0.0100,136614
2018-05-18,0.0100,0.0100,0.0100,0.0100,25
2018-06-07,0.0120,0.0120,0.0012,0.0012,323500
2018-08-07,0.0016,0.0100,0.0015,0.0100,312785
2019-01-22,0.0018,0.0018,0.0018,0.0018,40000
2019-03-08,0.0050,0.0050,0.0050,0.0050,10000
2019-05-15,0.0050,0.0050,0.0050,0.0050,25
2019-05-20,0.0050,0.0070,0.0050,0.0070,100020
2019-05-30,0.0065,0.0070,0.0065,0.0070,6000
2019-06-06,0.0070,0.0070,0.0070,0.0070,100000
2019-06-07,0.0090,0.0160,0.0090,0.0130,444802
2019-06-10,0.0100,0.0400,0.0100,0.0285,111166
2019-06-11,0.0250,0.0700,0.0250,0.0650,426470
2019-06-12,0.0380,0.0600,0.0350,0.0575,47500
2019-06-13,0.0600,0.1100,0.0560,0.0560,133194
2019-06-14,0.0700,0.2300,0.0700,0.2300,381236
2019-06-17,0.2195,0.3500,0.1400,0.1500,413301
2019-06-18,0.1800,0.2000,0.1000,0.1350,229650
2019-06-19,0.0900,0.1349,0.0502,0.0900,176686
2019-06-20,0.0541,0.0793,0.0430,0.0600,235080
2019-06-21,0.0750,0.0750,0.0440,0.0529,36898
2019-06-24,0.0431,0.0598,0.0431,0.0598,1500
2019-06-25,0.0500,0.0550,0.0410,0.0550,22730
2019-06-26,0.0550,0.0848,0.0550,0.0600,151782
2019-06-27,0.0746,0.0746,0.0670,0.0690,12044
2019-06-28,0.0509,0.0600,0.0401,0.0599,85285
2019-07-01,0.0400,0.0600,0.0400,0.0600,29139
2019-07-02,0.0592,0.0600,0.0592,0.0600,2667
2019-07-03,0.0600,0.0779,0.0501,0.0586,99249
2019-07-05,0.0586,0.0586,0.0550,0.0550,22379
2019-07-08,0.0400,0.0586,0.0400,0.0586,10508
2019-07-09,0.0410,0.0586,0.0410,0.0561,3750
2019-07-10,0.0586,0.0820,0.0500,0.0820,79548
2019-07-11,0.0732,0.0810,0.0732,0.0810,1000
2019-07-12,0.0680,0.0810,0.0600,0.0600,17225
2019-07-15,0.0664,0.0664,0.0664,0.0664,5000
2019-07-16,0.0520,0.0750,0.0500,0.0716,41471
